black_pixels,contours,label
84307,1349,300
84126,1470,300
84484,1438,300
83991,1381,300
83937,1401,300
86077,1419,300
87081,1353,300
84908,1401,300
85540,1392,300
84380,1411,300
86298,1369,300
85634,1450,300
84761,1316,300
86201,1287,300
86251,1365,300
86182,1367,300
86065,1372,300
86006,1387,300
85981,1357,300
85885,1370,300
85213,1370,300
86969,1249,300
84988,1350,300
86688,1372,300
87826,1378,300
87142,1238,300
85609,1242,300
85711,1264,300
84637,1364,300
84806,1318,300
85750,1390,300
87289,1375,300
84824,1312,300
85124,1412,300
84460,1317,300
86849,1377,300
87758,1337,300
86375,1277,300
85162,1329,300
86346,1268,300
87704,1337,300
86555,1457,300
87564,1340,300
84887,1341,300
77774,1580,300
85844,1415,300
84584,1376,300
84061,1425,300
84785,1423,300
86500,1456,300
