black_pixels,contours,label
63413,1330,200
63976,1325,200
63632,1386,200
64827,1348,200
65390,1315,200
65191,1310,200
64459,1297,200
62795,1326,200
62611,1287,200
64385,1366,200
64443,1243,200
64586,1306,200
64555,1383,200
64967,1326,200
66854,1325,200
66395,1275,200
64910,1386,200
66486,1320,200
63684,1305,200
64704,1298,200
65767,1276,200
64975,1316,200
66403,1345,200
65802,1361,200
65787,1385,200
65241,1270,200
65175,1331,200
66968,1371,200
65085,1412,200
65655,1322,200
66230,1341,200
65655,1291,200
67231,1301,200
65661,1351,200
67718,1365,200
65253,1436,200
66238,1327,200
67320,1400,200
66912,1385,200
66929,1360,200
66320,1360,200
66635,1380,200
67007,1357,200
66979,1332,200
66100,1373,200
66041,1317,200
65842,1393,200
65284,1385,200
65673,1371,200
65006,1403,200
65860,1326,200
65514,1432,200
65319,1342,200
64728,1393,200
66804,1321,200
