white_pixels,contour,label,contours
1269378,,100,827.0
1269766,,100,808.0
1267853,,100,875.0
1268965,,100,808.0
1270473,,100,812.0
1268521,,100,758.0
1267167,,100,815.0
1267301,,100,820.0
1266448,,100,830.0
1268356,,100,835.0
1267973,,100,831.0
1268481,,100,864.0
1268778,,100,796.0
1268354,,100,784.0
1268340,,100,844.0
1268877,,100,813.0
1269136,,100,753.0
1269164,,100,759.0
1268940,,100,764.0
1267770,,100,748.0
1268051,,100,820.0
1268691,,100,771.0
1267414,,100,822.0
1269200,,100,785.0
1268569,,100,758.0
1268713,,100,768.0
1269082,,100,802.0
1268692,,100,805.0
1267574,,100,767.0
1267547,,100,829.0
1268981,,100,779.0
1268426,,100,813.0
1268821,,100,798.0
1265864,,100,798.0
1269252,,100,847.0
1269004,,100,756.0
1268947,,100,810.0
1269553,,100,794.0
1270168,,100,777.0
1270151,,100,859.0
1268565,,100,835.0
1268158,,100,828.0
1269666,,100,830.0
1269094,,100,806.0
1266730,,100,794.0
1269806,,100,855.0
1268858,,100,813.0
1267953,,100,893.0
1268187,,100,813.0
1267961,,100,835.0
1267396,,100,823.0
