white_pixels,contour,label,contours
1224473,,200,2486.0
1225664,,200,2463.0
1225652,,200,2478.0
1225462,,200,2413.0
1225731,,200,2401.0
1227138,,200,2285.0
1223764,,200,2354.0
1226276,,200,2361.0
1227459,,200,2315.0
1223324,,200,2437.0
1224992,,200,2533.0
1224704,,200,2555.0
1224275,,200,2503.0
1223975,,200,2352.0
1225445,,200,2471.0
1224723,,200,2384.0
1227459,,200,2361.0
1223501,,200,2354.0
1227472,,200,2388.0
1225984,,200,2347.0
1224511,,200,2384.0
1225846,,200,2325.0
1221275,,200,2375.0
1223367,,200,2542.0
1225605,,200,2373.0
1225442,,200,2391.0
1227295,,200,2326.0
1222749,,200,2337.0
1226557,,200,2464.0
1225575,,200,2388.0
1225535,,200,2492.0
1225166,,200,2481.0
1224643,,200,2299.0
1222934,,200,2522.0
1225114,,200,2373.0
1226148,,200,2374.0
1223871,,200,2443.0
1225504,,200,2396.0
1224905,,200,2323.0
1224386,,200,2233.0
1226328,,200,2433.0
1226471,,200,2328.0
1225867,,200,2270.0
1223344,,200,2323.0
1224024,,200,2401.0
1225379,,200,2335.0
1227016,,200,2261.0
1229159,,200,2414.0
1225834,,200,2380.0
1228222,,200,2289.0
1227260,,200,2371.0
1223428,,200,2528.0
1223769,,200,2361.0
1225408,,200,2571.0
1222416,,200,2571.0
